POS,Player,Ov,Runs,Wkts,SR,Against,Venue,Match Date
25,Akash Deep,3.5,45,3.0,7.66,KKR,DY Patil Stadium,30-Mar-22
1,Andre Russell,1.0,5,4.0,1.5,GT,DY Patil Stadium,23-Apr-22
41,Anrich Nortje,4.0,42,3.0,8.0,CSK,DY Patil Stadium,08-May-22
47,Arshdeep Singh,4.0,37,3.0,8.0,DC,DY Patil Stadium,16-May-22
17,Avesh Khan,4.0,24,4.0,6.0,SRH,DY Patil Stadium,04-Apr-22
34,Basil Thampi,4.0,35,3.0,8.0,DC,Brabourne - CCI,27-Mar-22
29,Bhuvneshwar Kumar,4.0,22,3.0,8.0,PBKS,DY Patil Stadium,17-Apr-22
14,Daniel Sams,4.0,30,4.0,6.0,CSK,DY Patil Stadium,21-Apr-22
49,Dwayne Bravo,4.0,20,3.0,8.0,KKR,Wankhede Stadium,26-Mar-22
30,Hardik Pandya,4.0,17,3.0,8.0,RR,Narendra Modi Stadium,29-May-22
37,Hardik Pandya,4.0,27,3.0,8.0,DC,DY Patil Stadium,16-May-22
42,Harpreet Brar,4.0,26,3.0,8.0,SRH,Wankhede Stadium,22-May-22
24,Harshal Patel,4.0,34,4.0,6.0,PBKS,Brabourne - CCI,13-May-22
9,Jason Holder,2.3,31,3.0,5.0,KKR,Maharashtra Cricket Association Stadium,07-May-22
5,Jasprit Bumrah,4.0,10,3.0,4.8,KKR,DY Patil Stadium,09-May-22
16,Josh Hazlewood,4.0,25,4.0,6.0,LSG,DY Patil Stadium,19-Apr-22
12,Kagiso Rabada,4.0,33,4.0,6.0,GT,DY Patil Stadium,03-May-22
35,Khaleel Ahmed,4.0,25,3.0,8.0,KKR,Brabourne - CCI,10-Apr-22
48,Krunal Pandya,4.0,19,3.0,8.0,MI,Wankhede Stadium,24-Apr-22
10,Kuldeep Sen,3.3,20,4.0,5.25,RCB,Maharashtra Cricket Association Stadium,26-Apr-22
4,Kuldeep Yadav,3.0,14,4.0,4.5,KKR,Wankhede Stadium,28-Apr-22
13,Lockie Ferguson,4.0,28,3.0,6.0,DC,Maharashtra Cricket Association Stadium,02-Apr-22
23,Maheesh Theekshana,4.0,33,3.0,6.0,RCB,DY Patil Stadium,12-Apr-22
43,Marco Jansen,4.0,25,3.0,8.0,RCB,Brabourne - CCI,23-Apr-22
2,Marcus Stoinis,2.0,23,3.0,4.0,KKR,DY Patil Stadium,18-May-22
40,Moeen Ali,4.0,13,3.0,8.0,DC,DY Patil Stadium,08-May-22
32,Mohammad Shami,4.0,25,3.0,8.0,LSG,Wankhede Stadium,28-Mar-22
22,Mohsin Khan,4.0,16,4.0,6.0,DC,Wankhede Stadium,01-May-22
21,Mukesh Choudhary,4.0,46,4.0,6.0,SRH,Maharashtra Cricket Association Stadium,01-May-22
36,Mustafizur Rahman,4.0,18,3.0,8.0,KKR,Wankhede Stadium,28-Apr-22
27,Nathan Ellis,4.0,40,3.0,8.0,SRH,Wankhede Stadium,22-May-22
46,Obed McCoy,4.0,23,3.0,8.0,RCB,Narendra Modi Stadium,27-May-22
3,Odean Smith,3.0,30,4.0,4.5,MI,Maharashtra Cricket Association Stadium,13-Apr-22
38,Pat Cummins,4.0,22,3.0,8.0,MI,DY Patil Stadium,09-May-22
31,Prasidh Krishna,4.0,22,3.0,8.0,RCB,Narendra Modi Stadium,27-May-22
39,Rahul Chahar,4.0,25,3.0,8.0,CSK,Brabourne - CCI,03-Apr-22
20,Ramandeep Singh,3.0,20,3.0,6.0,SRH,Wankhede Stadium,17-May-22
11,Rashid Khan,3.5,24,4.0,5.75,LSG,Maharashtra Cricket Association Stadium,10-May-22
45,Ravichandran Ashwin,4.0,17,3.0,8.0,RCB,Maharashtra Cricket Association Stadium,26-Apr-22
28,Ravindra Jadeja,4.0,39,3.0,8.0,RCB,DY Patil Stadium,12-Apr-22
15,Shardul Thakur,4.0,36,4.0,6.0,PBKS,DY Patil Stadium,16-May-22
18,T Natarajan,3.0,10,3.0,6.0,RCB,Brabourne - CCI,23-Apr-22
33,Tim Southee,4.0,20,3.0,8.0,RCB,DY Patil Stadium,30-Mar-22
44,Tymal Mills,4.0,35,3.0,8.0,RR,DY Patil Stadium,02-Apr-22
19,Umesh Yadav,4.0,23,4.0,6.0,PBKS,Wankhede Stadium,01-Apr-22
7,Umran Malik,4.0,25,5.0,4.8,GT,Wankhede Stadium,27-Apr-22
6,Wanindu Hasaranga,4.0,18,5.0,4.8,SRH,Wankhede Stadium,08-May-22
26,Yash Dayal,4.0,40,3.0,8.0,RR,DY Patil Stadium,14-Apr-22
8,Yuzvendra Chahal,4.0,40,5.0,4.8,KKR,Brabourne - CCI,18-Apr-22
